PC1,PC2,PC3,PC4
2.8090978393474866,0.8514189741852555,-0.6388852571724504,-0.7747575416465433
1.8446937447340979,-0.016759701033273906,-0.19766451275427907,-0.2820343328203492
4.261755734391483,1.3760157697687394,-0.2620588761238355,-1.932403292974401
1.7990053745319046,-0.5118024756503852,0.360167118758477,0.9277691326374731
0.9057750328838778,1.1032890884485864,0.2514073004616027,0.712201995840258
1.0821793589662418,-1.0788086061665698,0.6497584545043622,-1.6805990391368817
-0.6696493523129978,0.9632662522564107,2.5205571375777187,-0.2612158474643095
0.460564681388198,-0.08975036189536185,0.3582040177325598,2.2649715660791703
0.853063350846586,0.891879996578011,1.577200862340166,-0.044857086287536
0.6612038824294817,-2.455397118541329,1.584471311529763,-1.080795386023165
3.454288895450331,0.5661220983988533,-0.15812655746335746,-1.531724968124649
2.2152662811851163,-2.545650029150769,-0.22611937544553143,0.9576982155736051
1.5322671412039988,-1.2206447218616905,-0.5838854091276607,-0.6479613622444612
0.11793197151913994,0.23592163428622365,0.8854631121330326,-0.013160051902926299
-0.7946267537090332,-1.0951300731845215,0.9715002180345068,0.6336768939431666
1.5436821789638817,1.2246321540167031,1.689711733850964,-1.0188294375227833
2.2642597704010905,-0.5082465419583237,2.2880310456982436,-0.1555938458708133
2.588726563367093,0.5057648914772744,0.5211469725817063,1.4930048771725057
1.7081738847412218,0.15562867734958424,-0.08027185808495994,0.23221999012486613
1.9446476925407137,2.782666600591313,0.2560435003182838,0.15587880303245935
0.7576979409558183,-0.8638342215196027,-0.17424391500257802,-0.3237841683393295
0.7232840363574258,2.099199051056821,0.8682704624432607,0.8497736711725037
-0.6115080019483529,-0.08126674919166028,1.893157586214499,-0.21393844973911244
-0.8935060776179218,0.07976444774858686,1.5602317770320575,0.9525751380900894
-1.4675113649113247,2.553474017820298,0.16475320692704645,-1.4977161936865948
-0.9947236609991322,0.7474975915286016,-0.26393858254296765,0.9807592181638287
-0.05896012573803702,-2.8426353734957255,0.9404803286737563,-2.1678317914589047
-0.22314656366508118,0.3796459957444365,-1.3982584624552603,0.01066924875753198
-0.5120188138179933,1.663265752347337,-0.3197042060411039,0.15645068320834635
-0.8080048802047874,-0.8281777953724461,-0.3498796957406793,0.6961123626446701
-0.53145807653008,-0.7355853119653272,-0.1751517331061321,-0.18470354762285826
0.11816812755706961,-3.0678199400807964,0.07317555468479334,0.7485803262694605
0.0787522824935203,0.261900185405605,-1.073714812030197,-1.2783889277564129
0.16722407918765284,-0.9942204783544506,0.024879442485564555,0.5011512983510633
-1.3476989454836927,-0.39664279321082974,0.2580334261185051,0.5833854664440131
2.164658817807372,0.8482856368258453,0.700391628301188,-0.01576720603309699
0.9999881618331202,0.7678787252041841,0.5407770522949907,0.9834465411167815
-1.7871204629674518,4.341005194110355,-0.018127605490160577,-1.2310206018377687
-1.8650167193790739,0.6616660555999598,-0.9885345987647476,0.8360160543643701
1.0746346544256073,-1.8641528564087684,-1.7483498407874782,-1.7147059848062232
-1.4196633577328812,-1.751569360048654,0.33276844387379645,-0.7751279149688128
-0.23008835838339847,-0.4225659280756539,-0.9877304437445968,-1.8262112901485892
0.1508642826764088,-1.5938019778889252,-1.0404437260097135,-1.1181497678908694
-0.3954009296432431,0.7403745855334618,-1.5320824464901774,-0.4700053170191458
-1.2072574978910826,0.9239466072395944,1.010547878145463,0.5478161662120893
-1.6953440916179852,1.237777197738487,-0.021957776189865143,0.3835006561121121
-1.3460973384940296,0.8612337923994244,1.1032152482963633,0.10574526733975896
2.9214342233330908,1.4624867020808316,-0.00977923637215048,2.1241881271549277
-1.525611355191107,-1.60215075576677,1.1726249702764768,0.339483773608544
-0.7049667915446607,1.8435356906679536,-0.8920632017608292,-0.9244991675991014
0.07350132303587908,-0.5310983891691256,-0.6411899226795377,1.4292906708255457
0.43511260775853167,-3.31758120266673,0.7405634875497987,0.937381827680399
0.927823448634356,-1.2129731615823132,-2.7083402181310317,0.005019270403187796
-2.37596899559443,-0.058389697814278003,-0.3693501693302092,-2.1022179684806077
0.15918465345192107,-1.404344728782515,-0.7518972351183628,1.351263955678822
-1.9849482424534217,-0.6738656725474204,0.35957159332115723,0.16966719379208917
-2.2351607857215336,0.48636255545111334,0.11273676571798215,-0.7427057246451656
-2.5411225845239676,1.7441997613217066,-0.5129688683000091,-0.3366350964380733
-3.057383861243251,0.03557729911618058,1.0878706752750442,-0.15314934285857765
2.330608991811091,1.1095272892317367,-2.1852171949102095,1.2040489656056994
-0.7934214096693937,0.32620839084068337,-1.9058257421484766,-0.20085641948062563
-1.3507017694146837,1.2109684018837663,-0.12306605096596199,2.0899414072290763
-1.434440591659165,-2.40005017933451,-0.5604880411342361,0.4207689406157231
-1.853676768456635,-2.2861440294555297,-0.5052493572016323,0.035000951151069555
-1.1536790025738082,-0.3121116499233032,-1.6024274666818554,0.9642580228394483
-0.1587248560642688,1.1143218921698357,-1.5934802557962018,-0.06739143113669535
-2.8316166603473296,0.40089138458260287,-1.1584861824063708,1.2275949405563373
-2.269295962705571,0.20557154109119768,0.901246520351673,-1.2425731158256104
